date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:05:10	23/23	---M--	200	added ('OK')	text/plain	date:Sat,%2020%20Sep%202025%2020:05:08%20GMT	https://www.escuelaing.edu.co/robots.txt		(from )
15:05:10	208249/208249	---M--	200	added ('OK')	text/html	date:Sat,%2020%20Sep%202025%2020:05:09%20GMT	https://www.escuelaing.edu.co/es/	C:/Mis%20lugares%20Web/eci/www.escuelaing.edu.co/es/index.html	(from )
15:05:10	10493/10493	---M--	200	added ('OK')	image/png	etag:%226896575a-28fd%22	https://www.escuelaing.edu.co/static/esc_web/favicon/apple-touch-icon.a9bc91f26ce6.png	C:/Mis%20lugares%20Web/eci/www.escuelaing.edu.co/static/esc_web/favicon/apple-touch-icon.a9bc91f26ce6.png	(from https://www.escuelaing.edu.co/es/)
15:05:11	1526/1526	---M--	200	added ('OK')	image/png	etag:%226896575a-5f6%22	https://www.escuelaing.edu.co/static/esc_web/favicon/favicon-32x32.c788fb51fed9.png	C:/Mis%20lugares%20Web/eci/www.escuelaing.edu.co/static/esc_web/favicon/favicon-32x32.c788fb51fed9.png	(from https://www.escuelaing.edu.co/es/)
15:05:11	837/837	---M--	200	added ('OK')	image/png	etag:%226896575a-345%22	https://www.escuelaing.edu.co/static/esc_web/favicon/favicon-16x16.73eb3cfef29e.png	C:/Mis%20lugares%20Web/eci/www.escuelaing.edu.co/static/esc_web/favicon/favicon-16x16.73eb3cfef29e.png	(from https://www.escuelaing.edu.co/es/)
15:05:12	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2020%20Sep%202025%2020:05:11%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Mis%20lugares%20Web/eci/www.googletagmanager.com/gtm.35445.delayed	(from https://www.escuelaing.edu.co/es/)
15:05:12	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2020%20Sep%202025%2020:05:12%20GMT	http://js.hsforms.net/forms/v2.js	C:/Mis%20lugares%20Web/eci/js.hsforms.net/forms/v2.4.delayed	(from https://www.escuelaing.edu.co/es/)
15:05:13	590289/590289	---MCZ	200	added ('OK')	application/javascript	etag:W/%2276c49ad8bb0c5d4032188a2149e100ec%22	https://js.hsforms.net/forms/v2.js	C:/Mis%20lugares%20Web/eci/js.hsforms.net/forms/v2.js	(from https://www.escuelaing.edu.co/es/)
15:05:13	169251/169251	---M-Z	200	added ('OK')	text/css	etag:%226896575c-29523%22	https://www.escuelaing.edu.co/static/webpack/main.5c3fbdd954699e117ba4.5f2536e4b11b.css	C:/Mis%20lugares%20Web/eci/www.escuelaing.edu.co/static/webpack/main.5c3fbdd954699e117ba4.5f2536e4b11b.css	(from https://www.escuelaing.edu.co/es/)
15:05:14	0/0	---M--	302	error ('Found')	text/html	etag:%22ca38c7dda7485f7092e5c3145ab5cac473c1c332%22	https://www.escuelaing.edu.co/documents/1906/form_style_grows_06102022.css	C:/Mis%20lugares%20Web/eci/www.escuelaing.edu.co/documents/1906/form_style_grows_06102022.7.delayed	(from https://www.escuelaing.edu.co/es/)
15:05:14	2093/2093	---M--	200	added ('OK')	text/css	etag:%22b2e6f4c9b3aacd44d06d6d9e09176e62%22	https://escuelaing.s3.amazonaws.com/production/documents/form_style_grows_06102022.css?AWSAccessKeyId=AKIAWFY3NGTFJHVI634A&Signature=aHYBAAnckV7aP9d4SwB4K5OlenQ%3D&Expires=1760817890	C:/Mis%20lugares%20Web/eci/escuelaing.s3.amazonaws.com/production/documents/form_style_grows_061020220954.css	(from https://www.escuelaing.edu.co/es/)
15:05:15	8502/8502	---M--	200	added ('OK')	image/png	etag:%22052e84b33812e377dc44d68019187417%22	https://escuelaing.s3.amazonaws.com/production/images/Logotipo-ESCUELA-sin-VM.width-380_R7iE0XU.png?AWSAccessKeyId=AKIAWFY3NGTFJHVI634A&Signature=I2IwSlrq8GrKZutLYlOqbIuOc2I%3D&Expires=1760817888	C:/Mis%20lugares%20Web/eci/escuelaing.s3.amazonaws.com/production/images/Logotipo-ESCUELA-sin-VM.width-380_R7iE0XUb9bf.png	(from https://www.escuelaing.edu.co/es/)
15:05:17	112158/112158	---M--	200	added ('OK')	image/jpeg	etag:%226e2492308079d4dee438aacd9052e7a1%22	https://escuelaing.s3.amazonaws.com/production/images/banner-adoquines.min-1440x700.jpg?AWSAccessKeyId=AKIAWFY3NGTFJHVI634A&Signature=DjPL9wuyUEwBo8knUs%2F97zRNLIk%3D&Expires=1760817888	C:/Mis%20lugares%20Web/eci/escuelaing.s3.amazonaws.com/production/images/banner-adoquines.min-1440x700ea23.jpg	(from https://www.escuelaing.edu.co/es/)
15:05:17	162576/162576	---M--	200	added ('OK')	text/html	date:Sat,%2020%20Sep%202025%2020:05:15%20GMT	https://www.escuelaing.edu.co/es/estudiantes/	C:/Mis%20lugares%20Web/eci/www.escuelaing.edu.co/es/estudiantes/index.html	(from https://www.escuelaing.edu.co/es/)
15:05:17	157298/157298	---M--	200	added ('OK')	text/html	date:Sat,%2020%20Sep%202025%2020:05:16%20GMT	https://www.escuelaing.edu.co/es/profesores-y-administrativos/	C:/Mis%20lugares%20Web/eci/www.escuelaing.edu.co/es/profesores-y-administrativos/index.html	(from https://www.escuelaing.edu.co/es/)
15:05:19	197827/197827	---M--	200	added ('OK')	text/html	date:Sat,%2020%20Sep%202025%2020:05:17%20GMT	https://www.escuelaing.edu.co/es/graduados/	C:/Mis%20lugares%20Web/eci/www.escuelaing.edu.co/es/graduados/index.html	(from https://www.escuelaing.edu.co/es/)
15:05:20	136327/136327	---M--	200	added ('OK')	text/html	date:Sat,%2020%20Sep%202025%2020:05:18%20GMT	https://www.escuelaing.edu.co/es/colegios-y-acudientes/	C:/Mis%20lugares%20Web/eci/www.escuelaing.edu.co/es/colegios-y-acudientes/index.html	(from https://www.escuelaing.edu.co/es/)
15:05:20	152026/152026	---M--	200	added ('OK')	text/html	date:Sat,%2020%20Sep%202025%2020:05:18%20GMT	https://www.escuelaing.edu.co/es/empresa/	C:/Mis%20lugares%20Web/eci/www.escuelaing.edu.co/es/empresa/index.html	(from https://www.escuelaing.edu.co/es/)
15:05:20	406926/406926	---M--	200	added ('OK')	image/png	etag:%2278c07927a404034653e0694bf1e06100%22	https://escuelaing.s3.amazonaws.com/production/images/GRUPAL_2u13vIB.width-760_xzWAmon.png?AWSAccessKeyId=AKIAWFY3NGTFJHVI634A&Signature=7SqfNBuh9Vet%2FUSbfIIwkkyVGQ4%3D&Expires=1760817888	C:/Mis%20lugares%20Web/eci/escuelaing.s3.amazonaws.com/production/images/GRUPAL_2u13vIB.width-760_xzWAmone34e.png	(from https://www.escuelaing.edu.co/es/)
15:05:23	250461/250461	---M--	200	added ('OK')	image/png	etag:%22465766443c536420088468ada4ecf07a%22	https://escuelaing.s3.amazonaws.com/production/images/banner-juventud-democratica11.width-760.png?AWSAccessKeyId=AKIAWFY3NGTFJHVI634A&Signature=lvPO7%2B6A8RX4PlkP0H2JGaMKpeQ%3D&Expires=1760817888	C:/Mis%20lugares%20Web/eci/escuelaing.s3.amazonaws.com/production/images/banner-juventud-democratica11.width-760bcf8.png	(from https://www.escuelaing.edu.co/es/)
15:05:23	144627/144627	---M--	200	added ('OK')	text/html	date:Sat,%2020%20Sep%202025%2020:05:20%20GMT	https://www.escuelaing.edu.co/es/donantes/	C:/Mis%20lugares%20Web/eci/www.escuelaing.edu.co/es/donantes/index.html	(from https://www.escuelaing.edu.co/es/)
15:05:23	364504/364504	---M--	200	added ('OK')	text/html	date:Sat,%2020%20Sep%202025%2020:05:19%20GMT	https://www.escuelaing.edu.co/es/programas/ingenieria-de-inteligencia-artificial/	C:/Mis%20lugares%20Web/eci/www.escuelaing.edu.co/es/programas/ingenieria-de-inteligencia-artificial/index.html	(from https://www.escuelaing.edu.co/es/)
15:05:23	369586/369586	---M--	200	added ('OK')	text/html	date:Sat,%2020%20Sep%202025%2020:05:21%20GMT	https://www.escuelaing.edu.co/es/programas/ingenieria-en-biotecnologia/	C:/Mis%20lugares%20Web/eci/www.escuelaing.edu.co/es/programas/ingenieria-en-biotecnologia/index.html	(from https://www.escuelaing.edu.co/es/)
15:05:24	42994/42994	---M--	200	added ('OK')	image/jpeg	etag:%22b46fa4267139d135d72432fad20e0eae%22	https://escuelaing.s3.amazonaws.com/production/images/banner3-convocatoria-representante-consejo.width-760.jpg?AWSAccessKeyId=AKIAWFY3NGTFJHVI634A&Signature=RomFb2kJ31b%2BF00G30XUdzqwsdw%3D&Expires=1760817888	C:/Mis%20lugares%20Web/eci/escuelaing.s3.amazonaws.com/production/images/banner3-convocatoria-representante-consejo.width-760cfbd.jpg	(from https://www.escuelaing.edu.co/es/)
15:05:25	404521/404521	---M--	200	added ('OK')	text/html	date:Sat,%2020%20Sep%202025%2020:05:24%20GMT	https://www.escuelaing.edu.co/es/programas/ingenieria-ambiental/	C:/Mis%20lugares%20Web/eci/www.escuelaing.edu.co/es/programas/ingenieria-ambiental/index.html	(from https://www.escuelaing.edu.co/es/)
15:05:25	411051/411051	---M--	200	added ('OK')	text/html	date:Sat,%2020%20Sep%202025%2020:05:24%20GMT	https://www.escuelaing.edu.co/es/programas/ingenieria-estadistica/	C:/Mis%20lugares%20Web/eci/www.escuelaing.edu.co/es/programas/ingenieria-estadistica/index.html	(from https://www.escuelaing.edu.co/es/)
15:05:25	372630/372630	---M--	200	added ('OK')	text/html	date:Sat,%2020%20Sep%202025%2020:05:24%20GMT	https://www.escuelaing.edu.co/es/programas/ingenieria-de-ciberseguridad/	C:/Mis%20lugares%20Web/eci/www.escuelaing.edu.co/es/programas/ingenieria-de-ciberseguridad/index.html	(from https://www.escuelaing.edu.co/es/)
15:05:25	428585/428585	---M--	200	added ('OK')	text/html	date:Sat,%2020%20Sep%202025%2020:05:24%20GMT	https://www.escuelaing.edu.co/es/programas/ingenieria-civil/	C:/Mis%20lugares%20Web/eci/www.escuelaing.edu.co/es/programas/ingenieria-civil/index.html	(from https://www.escuelaing.edu.co/es/)
15:05:25	35680/35680	---M--	200	added ('OK')	image/jpeg	etag:%2233b7c723246790fdd1c93d2c1599edf9%22	https://escuelaing.s3.amazonaws.com/production/images/Seminario_BTS_-_Banner_1_1.width-760_epvreNk.jpg?AWSAccessKeyId=AKIAWFY3NGTFJHVI634A&Signature=WS8Q6tzOdLTgZtgNyxo%2B9wuw2R0%3D&Expires=1760817888	C:/Mis%20lugares%20Web/eci/escuelaing.s3.amazonaws.com/production/images/Seminario_BTS_-_Banner_1_1.width-760_epvreNkf7f0.jpg	(from https://www.escuelaing.edu.co/es/)
15:05:26	37753/37753	---M--	200	added ('OK')	image/jpeg	etag:%22ab9cca574962a36893371383dc5957e4%22	https://escuelaing.s3.amazonaws.com/production/images/4E6A6090.width-760.jpg?AWSAccessKeyId=AKIAWFY3NGTFJHVI634A&Signature=NTojVNxNmiMow7tUJraPgsJNjwM%3D&Expires=1760817888	C:/Mis%20lugares%20Web/eci/escuelaing.s3.amazonaws.com/production/images/4E6A6090.width-760c0dd.jpg	(from https://www.escuelaing.edu.co/es/)
15:05:27	411715/411715	---M--	200	added ('OK')	text/html	date:Sat,%2020%20Sep%202025%2020:05:26%20GMT	https://www.escuelaing.edu.co/es/programas/ingenieria-electrica/	C:/Mis%20lugares%20Web/eci/www.escuelaing.edu.co/es/programas/ingenieria-electrica/index.html	(from https://www.escuelaing.edu.co/es/)
15:05:28	52751/52751	---M--	200	added ('OK')	image/jpeg	etag:%22f3dfde0ac9d4c05f3071b6fec03164bc%22	https://escuelaing.s3.amazonaws.com/production/images/PRIMERA_2.width-760.jpg?AWSAccessKeyId=AKIAWFY3NGTFJHVI634A&Signature=AP2bdf7EXx2nG%2F8Ctea%2Famas5D8%3D&Expires=1760817888	C:/Mis%20lugares%20Web/eci/escuelaing.s3.amazonaws.com/production/images/PRIMERA_2.width-76009ab.jpg	(from https://www.escuelaing.edu.co/es/)
15:05:28	451937/451937	---M--	200	added ('OK')	text/html	date:Sat,%2020%20Sep%202025%2020:05:27%20GMT	https://www.escuelaing.edu.co/es/programas/ingenieria-industrial/	C:/Mis%20lugares%20Web/eci/www.escuelaing.edu.co/es/programas/ingenieria-industrial/index.html	(from https://www.escuelaing.edu.co/es/)
15:05:28	404477/404477	---M--	200	added ('OK')	text/html	date:Sat,%2020%20Sep%202025%2020:05:28%20GMT	https://www.escuelaing.edu.co/es/programas/ingenieria-de-electronica/	C:/Mis%20lugares%20Web/eci/www.escuelaing.edu.co/es/programas/ingenieria-de-electronica/index.html	(from https://www.escuelaing.edu.co/es/)
15:05:30	59706/59706	---M--	200	added ('OK')	image/jpeg	etag:%2236570ece14e0dacffb4a86d06d6076c8%22	https://escuelaing.s3.amazonaws.com/production/images/PEM_4960_1.width-760.jpg?AWSAccessKeyId=AKIAWFY3NGTFJHVI634A&Signature=JDP8S8PJpEfpHrgMYifrylARa4s%3D&Expires=1760817888	C:/Mis%20lugares%20Web/eci/escuelaing.s3.amazonaws.com/production/images/PEM_4960_1.width-760807b.jpg	(from https://www.escuelaing.edu.co/es/)
15:05:30	449008/449008	---M--	200	added ('OK')	text/html	date:Sat,%2020%20Sep%202025%2020:05:28%20GMT	https://www.escuelaing.edu.co/es/programas/ingenieria-de-sistemas/	C:/Mis%20lugares%20Web/eci/www.escuelaing.edu.co/es/programas/ingenieria-de-sistemas/index.html	(from https://www.escuelaing.edu.co/es/)
15:05:31	50816/50816	---M--	200	added ('OK')	image/jpeg	etag:%224ca2fdbb807fa0a5f7e425b2bf1a1580%22	https://escuelaing.s3.amazonaws.com/production/images/banner-claustro-portal_Mesa_de_trabajo_1.width-760_yXsUVkU.jpg?AWSAccessKeyId=AKIAWFY3NGTFJHVI634A&Signature=7jfxBP96Kilcx73ukudX6s%2F1XwE%3D&Expires=1760817888	C:/Mis%20lugares%20Web/eci/escuelaing.s3.amazonaws.com/production/images/banner-claustro-portal_Mesa_de_trabajo_1.width-760_yXsUVkU5f77.jpg	(from https://www.escuelaing.edu.co/es/)
15:05:31	404238/404238	---M--	200	added ('OK')	text/html	date:Sat,%2020%20Sep%202025%2020:05:29%20GMT	https://www.escuelaing.edu.co/es/programas/economia/	C:/Mis%20lugares%20Web/eci/www.escuelaing.edu.co/es/programas/economia/index.html	(from https://www.escuelaing.edu.co/es/)
15:05:31	379469/379469	---M--	200	added ('OK')	text/html	date:Sat,%2020%20Sep%202025%2020:05:29%20GMT	https://www.escuelaing.edu.co/es/programas/matematicas/	C:/Mis%20lugares%20Web/eci/www.escuelaing.edu.co/es/programas/matematicas/index.html	(from https://www.escuelaing.edu.co/es/)
15:05:31	420611/420611	---M--	200	added ('OK')	text/html	date:Sat,%2020%20Sep%202025%2020:05:30%20GMT	https://www.escuelaing.edu.co/es/programas/administracion-de-empresas/	C:/Mis%20lugares%20Web/eci/www.escuelaing.edu.co/es/programas/administracion-de-empresas/index.html	(from https://www.escuelaing.edu.co/es/)
15:05:32	45348/45348	---M--	200	added ('OK')	image/jpeg	etag:%22e4f80465973d19f36ca0523bd89a2986%22	https://escuelaing.s3.amazonaws.com/production/images/Sin-titulo-1_1.width-760_lfpc0fY.jpg?AWSAccessKeyId=AKIAWFY3NGTFJHVI634A&Signature=hnZJunnbcp%2BAfIsyFbbvaMcGy%2B4%3D&Expires=1760817888	C:/Mis%20lugares%20Web/eci/escuelaing.s3.amazonaws.com/production/images/Sin-titulo-1_1.width-760_lfpc0fYb5f8.jpg	(from https://www.escuelaing.edu.co/es/)
15:05:32	189032/189032	---M--	200	added ('OK')	text/html	date:Sat,%2020%20Sep%202025%2020:05:32%20GMT	https://www.escuelaing.edu.co/es/programas/especializacion-en-gerencia-integral-del-mantenimiento-y-confiabilidad/	C:/Mis%20lugares%20Web/eci/www.escuelaing.edu.co/es/programas/especializacion-en-gerencia-integral-del-mantenimiento-y-confiabilidad/index.html	(from https://www.escuelaing.edu.co/es/)
